clusterId,conceptName,requiredIngredient,identity,family,state,selectedProductId,quantity,unit,reason
"dcluster_87b96a2fc22b24da2b6baa44","Нежный омлет с помидорами","Молоко","молоко","молоко","CANONICAL_FAMILY_DEFAULT_SELECTED","milk_2_5pct","3","","owner synthesis default recipe-synthesis-product-policy/v2 selected exact accepted Product"
"dcluster_87b96a2fc22b24da2b6baa44","Нежный омлет с помидорами","Масло растительное (сливочное)","Масло растительное (сливочное)","","PRODUCT_CATALOG_GAP","","2","","no accepted compatible product remains after explicit evidence"
"dcluster_59671113703c6c5ee9faa0f1","Салат Цезарь классический с курицей","Филе куриной грудки","Филе куриной грудки","chicken_breast_raw","EXACT_PRODUCT_ALREADY_RESOLVED","chicken_breast_raw","2","SHT","accepted resolver supplied concrete product with nutrition authority"
"dcluster_59671113703c6c5ee9faa0f1","Салат Цезарь классический с курицей","Салат ромен","Салат ромен","romaine_lettuce_raw","EXACT_PRODUCT_ALREADY_RESOLVED","romaine_lettuce_raw","300","G","accepted resolver supplied concrete product with nutrition authority"
"dcluster_59671113703c6c5ee9faa0f1","Салат Цезарь классический с курицей","Красный сладкий перец","Красный сладкий перец","bell_pepper_raw","EXACT_PRODUCT_ALREADY_RESOLVED","bell_pepper_raw","1","SHT","accepted resolver supplied concrete product with nutrition authority"
"dcluster_59671113703c6c5ee9faa0f1","Салат Цезарь классический с курицей","Белый хлеб","Белый хлеб","wheat_bread","EXACT_PRODUCT_ALREADY_RESOLVED","wheat_bread","0.5","SHT","accepted resolver supplied concrete product with nutrition authority"
"dcluster_59671113703c6c5ee9faa0f1","Салат Цезарь классический с курицей","Куриное яйцо","Куриное яйцо","step092_eggs","EXACT_PRODUCT_ALREADY_RESOLVED","step092_eggs","4","SHT","accepted resolver supplied concrete product with nutrition authority"
"dcluster_59671113703c6c5ee9faa0f1","Салат Цезарь классический с курицей","Оливковое масло","Оливковое масло","olive_oil","EXACT_PRODUCT_ALREADY_RESOLVED","olive_oil","7","","accepted resolver supplied concrete product with nutrition authority"
"dcluster_59671113703c6c5ee9faa0f1","Салат Цезарь классический с курицей","Чеснок","Чеснок","garlic_raw","EXACT_PRODUCT_ALREADY_RESOLVED","garlic_raw","2","ZUBCHIK","accepted resolver supplied concrete product with nutrition authority"
"dcluster_59671113703c6c5ee9faa0f1","Салат Цезарь классический с курицей","Горчица","Горчица","mustard_ready","EXACT_PRODUCT_ALREADY_RESOLVED","mustard_ready","2","CHAYN_L","accepted resolver supplied concrete product with nutrition authority"
"dcluster_59671113703c6c5ee9faa0f1","Салат Цезарь классический с курицей","Вустерширский соус","Вустерширский соус","","PRODUCT_CATALOG_GAP","","1","CHAYN_L","no accepted compatible product remains after explicit evidence"
"dcluster_59671113703c6c5ee9faa0f1","Салат Цезарь классический с курицей","Лимонный сок","лимонный сок","лимонный сок","PRODUCT_CATALOG_GAP","","1","STOL_L","no accepted compatible product remains after explicit evidence"
"dcluster_59671113703c6c5ee9faa0f1","Салат Цезарь классический с курицей","Орегано,  щепотка","орегано","орегано","SINGLE_COMPATIBLE_PRODUCT_SELECTED","oregano_dried","","","exactly one semantically compatible catalog product"
"dcluster_59671113703c6c5ee9faa0f1","Салат Цезарь классический с курицей","Каперсы","Каперсы","capers_pickled","EXACT_PRODUCT_ALREADY_RESOLVED","capers_pickled","1","CHAYN_L","accepted resolver supplied concrete product with nutrition authority"
"dcluster_59671113703c6c5ee9faa0f1","Салат Цезарь классический с курицей","Тертый сыр пармезан","Тертый сыр пармезан","parmesan_hard","EXACT_PRODUCT_ALREADY_RESOLVED","parmesan_hard","100","G","accepted resolver supplied concrete product with nutrition authority"
